1;M1;W1
2;M2;W2
3;M3;W3
4;M4;W4
5;M5;W5
6;M6;W6
7;M7;W7
8;MD;WD
9;MD;WD
10;MC;WC
11;MC;WC
12;MB;WB
13;MB;WB
14;MA;WA
15;MA;WA
16;MJB;WJB
17;MJB;WJB
18;MJA;WJA
19;MJA;WJA
20;M20;W20
21;M20;W20
22;M20;W20
23;M20;W20
24;M20;W20
25;M20;W20
26;M20;W20
27;M20;W20
28;M20;W20
29;M20;W20
30;M30;W30
31;M30;W30
32;M30;W30
33;M30;W30
34;M30;W30
35;M35;W35
36;M35;W35
37;M35;W35
38;M35;W35
39;M35;W35
40;M40;W40
41;M40;W40
42;M40;W40
43;M40;W40
44;M40;W40
45;M45;W45
46;M45;W45
47;M45;W45
48;M45;W45
49;M45;W45
50;M50;W50
51;M50;W50
52;M50;W50
53;M50;W50
54;M50;W50
55;M55;W55
56;M55;W55
57;M55;W55
58;M55;W55
59;M55;W55
60;M60;W60
61;M60;W60
62;M60;W60
63;M60;W60
64;M60;W60
65;M65;W65
66;M65;W65
67;M65;W65
68;M65;W65
69;M65;W65
70;M70;W70
71;M70;W70
72;M70;W70
73;M70;W70
74;M70;W70
75;M75;W75
76;M75;W75
77;M75;W75
78;M75;W75
79;M75;W75
80;M80;W80
81;M80;W80
82;M80;W80
83;M80;W80
84;M80;W80
85;M85;W85
86;M85;W85
87;M85;W85
88;M85;W85
89;M85;W85
90;M90;W90
91;M90;W90
92;M90;W90
93;M90;W90
94;M90;W90
95;M95;W95
96;M95;W95
97;M95;W95
98;M95;W95
99;M95;W95
